x-axis,1
second,Volt
-7.500000E-03,+51.810301602E+00
-7.492500E-03,+52.614321709E+00
-7.485000E-03,+52.614321709E+00
-7.477500E-03,+52.614321709E+00
-7.470000E-03,+53.418341815E+00
-7.462500E-03,+53.418341815E+00
-7.455000E-03,+54.222361922E+00
-7.447500E-03,+54.222361922E+00
-7.440000E-03,+54.222361922E+00
-7.432500E-03,+54.222361922E+00
-7.425000E-03,+55.026382029E+00
-7.417500E-03,+55.026382029E+00
-7.410000E-03,+55.587410228E+00
-7.402500E-03,+54.437663354E+00
-7.395000E-03,+56.247896047E+00
-7.387500E-03,+55.624932419E+00
-7.380000E-03,+57.226418156E+00
-7.372500E-03,+55.081762982E+00
-7.365000E-03,+55.101426411E+00
-7.357500E-03,+59.398763806E+00
-7.350000E-03,+61.184583260E+00
-7.342500E-03,+56.812201483E+00
-7.335000E-03,+58.213299407E+00
-7.327500E-03,+60.638136586E+00
-7.320000E-03,+57.774337402E+00
-7.312500E-03,+59.217707327E+00
-7.305000E-03,+59.046482563E+00
-7.297500E-03,+59.850502670E+00
-7.290000E-03,+55.985240710E+00
-7.282500E-03,+57.674879782E+00
-7.275000E-03,+59.064341325E+00
-7.267500E-03,+56.853000912E+00
-7.260000E-03,+56.078143854E+00
-7.252500E-03,+64.609410643E+00
-7.245000E-03,+56.024567567E+00
-7.237500E-03,+65.268755984E+00
-7.230000E-03,+57.063220440E+00
-7.222500E-03,+61.044326211E+00
-7.215000E-03,+55.623127752E+00
-7.207500E-03,+58.027161025E+00
-7.200000E-03,+60.636664014E+00
-7.192500E-03,+63.707405488E+00
-7.185000E-03,+56.634422243E+00
-7.177500E-03,+59.180185136E+00
-7.170000E-03,+60.111353341E+00
-7.162500E-03,+61.083320974E+00
-7.155000E-03,+61.517533169E+00
-7.147500E-03,+59.206403041E+00
-7.140000E-03,+59.346660091E+00
-7.132500E-03,+59.556879618E+00
-7.125000E-03,+60.207865817E+00
-7.117500E-03,+60.044336007E+00
-7.110000E-03,+61.286986025E+00
-7.102500E-03,+65.055259218E+00
-7.095000E-03,+63.758036631E+00
-7.087500E-03,+59.575070475E+00
-7.080000E-03,+55.274123747E+00
-7.072500E-03,+58.288011695E+00
-7.065000E-03,+64.864038931E+00
-7.057500E-03,+60.576201157E+00
-7.050000E-03,+64.531753211E+00
-7.042500E-03,+54.991804982E+00
-7.035000E-03,+62.332857562E+00
-7.027500E-03,+61.458542883E+00
-7.020000E-03,+59.894579337E+00
-7.012500E-03,+61.458542883E+00
-7.005000E-03,+61.458542883E+00
-6.997500E-03,+61.458542883E+00
-6.990000E-03,+60.959450114E+00
-6.982500E-03,+61.458542883E+00
-6.975000E-03,+61.458542883E+00
-6.967500E-03,+60.819193065E+00
-6.960000E-03,+61.458542883E+00
-6.952500E-03,+61.458542883E+00
-6.945000E-03,+61.458542883E+00
-6.937500E-03,+61.458542883E+00
-6.930000E-03,+61.657458125E+00
-6.922500E-03,+61.458542883E+00
-6.915000E-03,+61.458542883E+00
-6.907500E-03,+61.517201075E+00
-6.900000E-03,+62.006462130E+00
-6.892500E-03,+60.630441632E+00
-6.885000E-03,+49.258980514E+00
-6.877500E-03,+59.454144760E+00
-6.870000E-03,+61.365639739E+00
-6.862500E-03,+64.147507971E+00
-6.855000E-03,+64.134399019E+00
-6.847500E-03,+58.384524172E+00
-6.840000E-03,+61.139366115E+00
-6.832500E-03,+61.881118698E+00
-6.825000E-03,+58.992906276E+00
-6.817500E-03,+59.751853433E+00
-6.810000E-03,+62.223236133E+00
-6.802500E-03,+61.099375070E+00
-6.795000E-03,+54.548093167E+00
-6.787500E-03,+62.262562990E+00
-6.780000E-03,+65.825178568E+00
-6.772500E-03,+62.178018988E+00
-6.765000E-03,+62.926658141E+00
-6.757500E-03,+60.850160780E+00
-6.750000E-03,+60.535401728E+00
-6.742500E-03,+62.517523373E+00
-6.735000E-03,+61.237019070E+00
-6.727500E-03,+62.288448801E+00
-6.720000E-03,+60.998776972E+00
-6.712500E-03,+61.923058605E+00
-6.705000E-03,+63.470968055E+00
-6.697500E-03,+60.654522777E+00
-6.690000E-03,+61.329922214E+00
-6.682500E-03,+58.747445513E+00
-6.675000E-03,+60.654522777E+00
-6.667500E-03,+60.654522777E+00
-6.660000E-03,+60.654522777E+00
-6.652500E-03,+60.654522777E+00
-6.645000E-03,+60.148875532E+00
-6.637500E-03,+59.866888860E+00
-6.630000E-03,+60.654522777E+00
-6.622500E-03,+61.300427071E+00
-6.615000E-03,+61.520954603E+00
-6.607500E-03,+60.321904962E+00
-6.600000E-03,+59.117917613E+00
-6.592500E-03,+60.357622487E+00
-6.585000E-03,+60.042863435E+00
-6.577500E-03,+59.728104383E+00
-6.570000E-03,+60.654522777E+00
-6.562500E-03,+59.850502670E+00
-6.555000E-03,+59.850502670E+00
-6.547500E-03,+59.850502670E+00
-6.540000E-03,+59.850502670E+00
-6.532500E-03,+59.850502670E+00
-6.525000E-03,+59.850502670E+00
-6.517500E-03,+59.274892947E+00
-6.510000E-03,+59.850502670E+00
-6.502500E-03,+59.850502670E+00
-6.495000E-03,+59.415149997E+00
-6.487500E-03,+59.850502670E+00
-6.480000E-03,+59.850502670E+00
-6.472500E-03,+59.555407046E+00
-6.465000E-03,+59.850502670E+00
-6.457500E-03,+59.380905044E+00
-6.450000E-03,+59.850502670E+00
-6.442500E-03,+59.206403041E+00
-6.435000E-03,+59.850502670E+00
-6.427500E-03,+59.850502670E+00
-6.420000E-03,+59.046482563E+00
-6.412500E-03,+59.046482563E+00
-6.405000E-03,+59.724827145E+00
-6.397500E-03,+59.046482563E+00
-6.390000E-03,+59.850502670E+00
-6.382500E-03,+59.584570095E+00
-6.375000E-03,+59.627174190E+00
-6.367500E-03,+59.046482563E+00
-6.360000E-03,+59.046482563E+00
-6.352500E-03,+59.046482563E+00
-6.345000E-03,+59.618815048E+00
-6.337500E-03,+59.046482563E+00
-6.330000E-03,+59.046482563E+00
-6.322500E-03,+59.046482563E+00
-6.315000E-03,+59.733186287E+00
-6.307500E-03,+59.046482563E+00
-6.300000E-03,+58.754664177E+00
-6.292500E-03,+59.069423230E+00
-6.285000E-03,+57.776142068E+00
-6.277500E-03,+59.046482563E+00
-6.270000E-03,+59.046482563E+00
-6.262500E-03,+59.046482563E+00
-6.255000E-03,+59.046482563E+00
-6.247500E-03,+59.850502670E+00
-6.240000E-03,+59.046482563E+00
-6.232500E-03,+59.046482563E+00
-6.225000E-03,+59.046482563E+00
